role_id,attack,method,result,material
B03_xmr_integrity,The register mixes two incompatible severity taxonomies with no defined ordering.,"Severity distribution: P0=4, CRITICAL=6, HIGH=13, MEDIUM=2. No legend row. The critical-decisions CSV uses a separate P0/P1 scale.",P0 and CRITICAL are unmapped scales — it is undefined whether XMR-CP-001 (P0) outranks XMR-CP-005 (CRITICAL). Severity is not comparably orderable and conflicts with the P0/P1 scheme used elsewhere in,DIVERGENCE
B03_xmr_integrity,A 'CROSS_MODEL' findings register records no model provenance.,"Header is exactly finding_id,severity,finding,evidence,status — no author/model/date column.","Findings cannot be attributed to Claude vs ChatGPT, defeating the dual-control audit premise mandated by DEC-003/DEC-004 (both models required, single-model decision prohibited). The register cannot d",MATERIAL_OMISSION
B03_xmr_integrity,Several findings cite non-resolvable prose tokens instead of locatable evidence.,"Inspected evidence values: 'candidate status' (009), 'scripts in diff'/'in diff' (020), 'broker' (022), 'staged gate design' (021), 'final run log' (017), 'red-",These are not artifact identifiers and resolve to nothing transferred; for XMR-CP-009 both evidence tokens ('s11_staged_tree_gate diff; candidate status') are non-locatable — functionally empty eviden,MINOR
B03_xmr_integrity,The meta-findings that the evidence base is missing are under-ranked relative to what they undermine.,XMR-CP-019 (HIGH — 'review bundle lacks the actual production V2 record and direct copies of two core scripts') and XMR-CP-025 (MEDIUM — absent constitutional/s,"These findings invalidate the verifiability of every higher-severity finding, yet are rated HIGH/MEDIUM rather than escalated — an internally contradictory severity assignment.",MINOR
B03_xmr_integrity,The register's open-CRITICAL findings contradict the authoritative GREEN state without reconciliation.,S11_PROJECT_STATE.json and DEC-012 assert candidate 5ebc7ad = ATTESTED_GREEN_PENDING_GATECODE_REVIEW; register holds 10 open P0/CRITICAL findings including XMR-,An 'ATTESTED_GREEN' candidate coexists with 10 unresolved P0/CRITICAL findings and the register provides no field reconciling the contradiction — a continuity break between the state JSON/decisions an,CONTINUITY_BREAK
B03_xmr_integrity,The register schema cannot enforce the non-disappearance / no-self-approval invariant it is governed by.,"DEC-024 mandates 'No finding ID may disappear; no self-approval by the fixing agent.' Register columns carry no remediation-owner, reviewer, or decision cross-r","There is no structural link from XMR-CP findings to DEC decisions or to a reviewer, so traceability and the anti-self-approval rule are unenforceable by the register itself.",MINOR
B03_xmr_integrity,Positive control: test the dublette/luecke hypothesis at the ID level.,grep -oE '^XMR-CP-[0-9]+' | sort | uniq -d (no output) and uniq | wc -l = 25 over IDs 001..025.,"No duplicate IDs and no numbering gaps — 25/25 confirmed. The suspected duplication/omission at the ID layer does NOT hold; the integrity defects are in hashing, evidence transfer, severity taxonomy a",NONE
B04_dec_integrity,"Named coverage source is absent: required_coverage points every decision at the AUTHORITATIVE_HANDOFF/PROJECT_INSTRUCTIONS, but S11_PROJECT_HANDOFF_MASTER.md is ABSENT inline and project instructions ",Read decisions CSV (all 28 rows carry the same coverage token) + iterated manifest assets against the directory; HANDOFF_MASTER.md resolves to 'No such file'.,None of the 28 decisions can be checked against the source they cite; coverage is a dangling pointer. Decisions are unverifiable as delivered.,MATERIAL_OMISSION
B04_dec_integrity,"The decisions register itself is not byte-authentic against its own manifest, so even the DEC list's provenance is unproven before any decision is judged.","wc -c = 4071, shasum -a 256 = f9045adf...; manifest declares 4100 bytes / 1216a780...; grep CR = 0 (pure LF). The 29-byte gap = 29 lines of missing CR → declare",The authoritative decision inventory cannot be reproduced from the inline channel; the container carrying decision integrity fails its own integrity check.,DIVERGENCE
B04_dec_integrity,"Zero decisions are in a resolved state: all 28 are TO_VERIFY with no accompanying evidence, verifier, timestamp or citation column.","Counted status field: 28/28 = TO_VERIFY; inspected header — columns are decision_id,decision,criticality,required_coverage,status_at_transfer only.","The register transfers open verification obligations, not verified facts; decision integrity is asserted as a to-do, not demonstrated.",MATERIAL_OMISSION
B04_dec_integrity,"Ten decisions have no corroboration in ANY transferred artifact — DEC-001,002,005,006,023,024,025,026,027,028 appear in neither the JSON invariants nor the register.","Mapped each decision to S11_PROJECT_STATE.json (the only present+authentic authoritative asset); these ten map to nothing (e.g. 'data may be used internally', '",These decisions are pure model-side assertions with no inline anchor whatsoever — maximally unverifiable.,MATERIAL_OMISSION
B04_dec_integrity,"Even the ~18 JSON-echoed decisions are not coverage-valid: JSON is the state snapshot, not the AUTHORITATIVE_HANDOFF/PROJECT_INSTRUCTIONS the CSV names as coverage.","Cross-read JSON invariants vs decisions; DEC-011..021 mirror current_product_reference/candidate/invariants/triggers, but the coverage field demands EXPLICIT pr","Mutual consistency between two files is being passed off as coverage; per the register's own rule, these decisions remain unverified against their declared source.",DIVERGENCE
B04_dec_integrity,"DEC-012 status contradicts the real repo state: it asserts candidate 5ebc7ad = ATTESTED_GREEN_PENDING_GATECODE_REVIEW, but the baseline repo lage is main=5ebc7ad, 0 candidate-refs, no V3 attestation.","Compared DEC-012 / JSON current_control_plane_candidate.attestation against provided repo baseline (main=5ebc7ad, no attestation, V3-WIP frozen 11/11).",A P0 decision records an attestation that does not exist in the repository; the decision's integrity claim diverges from ground truth.,CONTINUITY_BREAK
B04_dec_integrity,"DEC-014 'OFFICIAL count remains 27' has an undefined referent — nothing in the transfer defines what 27 counts, and the numbers present differ.",Register has 25 findings (XMR-CP-001..025); decisions list has 28; JSON official_count=27. The '27' is anchored only in the untransferred handoff.,An invariant that should be trivially checkable cannot be resolved to a countable set from the inline transfer; the anchor is missing.,MATERIAL_OMISSION
B04_dec_integrity,"DEC-022 and DEC-025 reference constructs defined only in untransferred assets ('Safety Constitution', 'shadow mode', 'four clean-room repos s11-core/automation/evals/presentations').","These terms have no definition in JSON, register or decisions CSV; their defining documents (FINAL_PROMPT.md, HANDOFF_MASTER.md) are ABSENT.","The decisions are not even interpretable, let alone verifiable — their operative terms were left behind.",MATERIAL_OMISSION
B04_dec_integrity,DEC-024 'No finding ID may disappear' cannot be enforced from the transfer because the finding-ID baseline it protects is itself hash-divergent.,"Register wc -c = 5271 / sha ccfac834 vs manifest 5297 / 00066473 (26-byte CR gap, 0 CR present) → the register snapshot is not byte-authentic.",The anti-omission invariant references a baseline that cannot be trusted byte-for-byte; the guard is unenforceable as delivered.,DIVERGENCE
B04_dec_integrity,"DEC-026 ('machine-readable state, hashes and Git objects prevail') is self-defeating on this transfer: applying its own supremacy rule invalidates the transfer's hash claims.","The two 'prevailing' hashes (register, decisions) do not reproduce; repo has 0 candidate-refs. Only JSON (6ee04805) survives its own rule.","The decision that elevates hashes over prose, when honored, marks two of the three critical artifacts as failing — the register cannot claim compliance with its own DEC-026.",CONTINUITY_BREAK
B04_dec_integrity,"Coverage granularity is nil: the identical coverage token is applied to P0 and P1 rows alike, with no per-decision line/section pointer.","awk over required_coverage → 28x identical string; criticality field mixes P0/P1 (DEC-023, DEC-025 = P1) but coverage is undifferentiated.","Even if the handoff were present, the field localizes no proof for any specific decision; verification would still be unguided.",MINOR
B04_dec_integrity,Commit references in DEC-011/DEC-012 are 7-hex short ids (670e362) with no full 40-char hash in the decision register.,Only S11_PROJECT_STATE.json carries the full 5ebc7adb934e... ; the decisions CSV and DEC-011 product ref stay at 7 hex.,"The decision register's own git anchors are not cryptographically resolvable without the JSON, weakening standalone verifiability of the reference decisions.",MINOR
B05_continuity_repo,Verify candidate commit 5ebc7adb934... exists as a real git object in the current repo (state.json current_control_plane_candidate).,find all .git under home; git cat-file -t 5ebc7ad in every repo; git bundle list-heads on every .bundle in wpno-backups/case-ledgers.,Commit object 5ebc7ad found in NO live repo and NO bundle. It appears only as text inside cross_model_review/bundle_staging (reports + git_diff_670e362_5ebc7ad.patch). Not git-verifiable.,MATERIAL_OMISSION
B05_continuity_repo,Confirm main really equals 5ebc7ad (orchestrator baseline / transfer premise).,Enumerate every live repo; check rev-parse main. Only live control-plane-adjacent repo is p0_backup_restore/restore_test/repo_from_bundle.,No live repo has main=5ebc7ad. The only live repo's main=4c3acb2 and it contains neither 5ebc7ad nor 670e362. 'main=5ebc7ad' is not reproducible on disk.,DIVERGENCE
B05_continuity_repo,Confirm a real V2 attestation record for 5ebc7ad exists (state.json attestation=ATTESTED_GREEN_PENDING_GATECODE_REVIEW).,find -iname '*attestation*.json'; read the only hit.,"Only example_attestation_v2.SYNTHETIC.json exists (ticket_id 'SYNTHETIC_EXAMPLE', gate_run_id 'synthetic'). No signed record binds 5ebc7ad. The ATTESTED_GREEN claim rests on prose reports only.",MATERIAL_OMISSION
B05_continuity_repo,Cross-check state.json candidate field against the authoritative PRODUCT_CANDIDATE_REGISTRY (source of truth).,Read bundle_staging/memory/PRODUCT_CANDIDATE_REGISTRY.csv CONTROL_PLANE row.,"Registry records candidate_commit=HEAD, status=STAGED_TREE_ATTESTATION_HARDENED_CANDIDATE, review_status=PENDING_CROSS_MODEL_REVIEW. state.json upgrades this to concrete SHA 5ebc7ad + 'ATTESTED_GREEN_",DIVERGENCE
B05_continuity_repo,Test whether 'ATTESTED_GREEN' overstates the candidate's real gate status.,Read S11_CONTROL_PLANE_CANDIDATE_STATUS.md.,"Max status is explicitly '...PENDING_CROSS_MODEL_REVIEW', NOT L99/QUALITY_CONFIRMED; report states 'kein Selbst-Final-Green' and cross-model review is a precondition. Transferred field is a conditiona",DIVERGENCE
B05_continuity_repo,Check temporal continuity: state.json date vs today and intervening progress.,Read state.json date (2026-07-12) vs env date 2026-07-13; list s11_control_plane_v3_wip_freeze.,"Entire 2026-07-13 V3-WIP build (WIP-001..011, 11/11 frozen) is absent from the transferred state. The transfer carries a snapshot frozen before the V3 attempt.",CONTINUITY_BREAK
B05_continuity_repo,Check whether the 17-row manifest accounts for post-07-12 progress artifacts.,grep manifest for V3_WIP/WIP_FREEZE/TRANSFER_QC_RESULT/CROSS_MODEL_REVIEW/5ebc7ad.,"None present. Manifest omits WIP_FREEZE_MANIFEST, TRANSFER_QC_RESULT, and the cross_model_review 5ebc7ad review bundle — all real, newer authoritative evidence.",MATERIAL_OMISSION
B05_continuity_repo,Check whether next_claude_trigger is still live/actionable or already superseded.,Read state.json next_claude_trigger vs TRANSFER_QC_RESULT.md verdict.,next_claude_trigger='S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION' points at V3 work that on 2026-07-13 was already attempted and HARD_STOP/V3_RESUME_BLOCKED. Transfer would re-trigger ,CONTINUITY_BREAK
B05_continuity_repo,Check whether the transfer carries the 07-13 QC verdict that contradicts its own availability premise.,Read s11_control_plane_v3_wip_freeze/TRANSFER_QC_RESULT.md.,"07-13 QC declares XMR 0/25, critical decisions 0/28, P0 handoff assets 0% findable (local+Drive) — TRANSFER_QC_NOT_VERIFIED. This directly contradicts the inline-transfer premise that the authoritativ",MATERIAL_OMISSION
B05_continuity_repo,Verify declared candidate tree 2aa02bba... and parent 670e362 lineage.,"Attempt object verification; only artifact is derived/git_diff_670e362_5ebc7ad.patch (diff dump, 56 file diffs), no git objects.",Tree SHA and parent lineage cannot be reconstructed or confirmed from a plain diff dump; no git objects for 670e362 or 5ebc7ad exist on disk. Declared tree/parent are unverifiable.,MATERIAL_OMISSION
B05_continuity_repo,Verify remote_count=0 invariant against the real repo.,git remote -v on the only live repo present.,No live control-plane repo exists to confirm remote_count=0; the only live repo (restore_test) DOES have a configured origin (local .bundle). Invariant is asserted but not verifiable in-context.,MINOR
B05_continuity_repo,Check internal consistency of the transferred package on the candidate attestation.,Compare DEC-012 in S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv vs state.json field.,"DEC-012 carries verification_status TO_VERIFY for the same 'candidate 5ebc7ad ATTESTED_GREEN_PENDING_GATECODE_REVIEW' claim, yet state.json presents it as a settled field without the TO_VERIFY qualifi",MINOR
B06_manifest_selfconsistency,Manifest listet sich selbst nicht (kein Self-Anchor-Row fuer AUTHORITATIVE_CONTEXT_MANIFEST.csv),"grep -c AUTHORITATIVE_CONTEXT_MANIFEST in der Datei = 0; die Datei ist eine der 4 physisch materialisierten, fehlt aber in ihrem eigenen Inventar",Manifest hat keinen deklarierten eigenen Hash/Groesse -> ein getauschtes/editiertes Manifest ist gegen sich selbst nicht detektierbar; Vertrauensanker fehlt,CONTINUITY_BREAK
B06_manifest_selfconsistency,Inkonsistente Zeilenend-/Hashing-Konvention innerhalb desselben Manifests,"CSV-Hashes reproduzieren nur unter CRLF (00066473.../1216a780... exakt), JSON-Hash 6ee04805 reproduziert nur unter LF (CRLF ergibt abweichend 59de0dcb)","Der 'autoritative' Manifest mischt CRLF-basierte und LF-basierte SHA256 -> beweist >=2 Generierungsumgebungen/Passes; kein einheitlicher Kanon, kein Feld das dies ausdrueckt",DIVERGENCE
B06_manifest_selfconsistency,size_bytes-Spalte der zwei CSV stimmt nicht mit der inline gelieferten Form,deklariert 5297/4100 (CRLF-Bytezahl) vs. real materialisiert 5271/4071 (LF),Ein strikter Groessencheck der inline-Artefakte scheitert an 2 von 17 Zeilen aus derselben CRLF-Ursache; size_bytes ist fuer die gelieferte Form nicht autoritativ,DIVERGENCE
B06_manifest_selfconsistency,13 von 17 required=yes Assets nicht inline uebertragen / nicht byte-verifiziert,"nur 4 Bloecke materialisiert (Manifest, Register, Decisions, State.json); alle 17 Zeilen tragen required=yes",Unter der Manifest-Semantik required=yes=Pflicht scheitern 13/17 Pflicht-Assets an der Lieferung; 'accounted-by-manifest' ist keine Byte-Verifikation,MATERIAL_OMISSION
B06_manifest_selfconsistency,5aa629d1 Reconciliation/Resume-Prompt required aber nie geliefert (Zirkularitaet),"Zeile 18 S11_CONTROL_PLANE_V3_..._RECONCILIATION_AND_CONTROLLED_RESUME_PROMPT.md, sha 5aa629d1..., role SUPPORTING, required=yes, 16883 B; nicht unter den 4 mat","Genau das Artefakt, das den autoritativen Kontext rekonziliieren/den Resume steuern wuerde, liegt ausserhalb des verifizierten Transfers -> selbstbezuegliche Autoritaetsluecke",MATERIAL_OMISSION
B06_manifest_selfconsistency,Rollenwiderspruch: einziges SUPPORTING_AUTHORITATIVE_CONTEXT-Item ist required=yes,Zeile 18 role=SUPPORTING aber required=yes,"Taxonomie 'supporting' impliziert nachrangig/optional, wird aber als Pflicht markiert -> Rollen-/Pflicht-Semantik in sich widerspruechlich",MINOR
B06_manifest_selfconsistency,"Drei ueberlappende, unrekonzilierte Inventare ohne Vorrangregel","dieser Manifest (17 Zeilen) referenziert zusaetzlich S11_PROJECT_TRANSFER_QC_PACKAGE_MANIFEST.csv (Z16, 1469 B) und S11_PROJECT_TRANSFER_REQUIRED_ASSETS.csv (Z1",Mind. drei Inventardateien koexistieren; kein Feld/keine Regel welches autoritativ ist -> Mehrdeutigkeit welche Liste bei Konflikt gilt,CONTINUITY_BREAK
B06_manifest_selfconsistency,Zwei ZIP-Container doppeln individuell gelistete Member und blaehen die Abdeckung,Z9 HANDOFF_PACKAGE.zip (144525 B) und Z17 DUAL_COUNCIL_QC_PACKAGE.zip (31189 B) buendeln vermutlich die separat gelisteten md/csv; kein Container/Member-Feld; N,'17 required' zaehlt denselben Inhalt doppelt (einzeln + im ZIP); Container-Hashes ohne unzip nicht unabhaengig verifizierbar -> scheinbare Vollstaendigkeit ueberzeichnet,MATERIAL_OMISSION
B06_manifest_selfconsistency,"Governance-Prompts inkl. der mich steuernden COUNCIL_B-Prompt nur deklariert, nie geliefert",Z13/Z14/Z15 (Council A/B/Tribunal) + Z12 QC_MASTER TRANSFER_QC_CONTRACT; COUNCIL_B_CLAUDE_PROMPT.md 2752 B nicht materialisiert,"Die Prompts, die dieses QC-Verfahren definieren, sind selbst nicht byte-verifiziert -> das Kontrollregime kann seine eigene Integritaet nicht belegen",CONTINUITY_BREAK
