finding_no,role_id,material,finding,evidence
B-011,B01_asset_completeness,MATERIAL_OMISSION,"Recount of absent manifest assets contradicts the baseline: 14/17 are absent inline, not 13. Present manifest-listed assets = exactly 3 (State.json, Register, Decisions). AUTHORITATIVE_CONTEXT_MANIFEST.csv is not one of ","Absent count is 14/17, off-by-one worse than the baseline's 13/17. Completeness accounting itself is inconsistent."
B-012,B01_asset_completeness,MATERIAL_OMISSION,"The highest-priority tier is majority-absent: 5 of 7 P0_AUTHORITATIVE_HANDOFF assets did not transfer inline (S11_PROJECT_HANDOFF_MASTER.md, S11_EVIDENCE_INDEX.md, S11_FINAL_CLAUDE_FABLE5_CONTROL_PLANE_V3_PROMPT.md 21KB,",The tier explicitly marked P0/authoritative is 2/7 present. The transfer failed most on exactly the assets it declares most critical.
B-013,B01_asset_completeness,MATERIAL_OMISSION,"The narrative authorities that DEFINE what 'complete' and 'authoritative context' mean are all absent: Handoff_Master (4408B), Evidence_Index (5084B), Final V3 Prompt (21362B). A manifest is only filenames+sizes+hashes; ",There is no inline basis to know whether 17 is the correct target set or what each asset must contain. Completeness is unscoped.
B-014,B01_asset_completeness,DIVERGENCE,"Second, independent completeness authority is absent: S11_PROJECT_TRANSFER_REQUIRED_ASSETS.csv (24219B) is itself the required-assets enumeration and was not transferred inline. The 17-row manifest therefore cannot be cr",Cannot confirm the manifest is the complete/correct manifest. Two authorities that should agree cannot be reconciled inline — a latent divergence that is undetectable.
B-015,B01_asset_completeness,MATERIAL_OMISSION,"Both bundle containers are absent: S11_PROJECT_HANDOFF_PACKAGE_2026-07-12.zip (144525B) and S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_PACKAGE.zip (31189B). These ZIPs presumably hold the 14 missing members, so there is no rec","The missing MD/CSV assets cannot be recovered or independently confirmed from the bundles, which are themselves missing. Circular gap."
B-016,B01_asset_completeness,MATERIAL_OMISSION,The manifest has no self-integrity anchor. AUTHORITATIVE_CONTEXT_MANIFEST.csv (on-disk SHA256 20a4c526...) is not listed among its own 17 rows and no declared hash for it exists anywhere inline. The single completeness a,"A truncated, edited, or substituted manifest would be undetectable inline. Every downstream completeness claim rests on an unverified root."
B-017,B01_asset_completeness,DIVERGENCE,"'Present' does not equal 'verified'. Of the 3 delivered assets, only State.json (6ee04805) is byte-identical to its declared SHA256. Register on-disk ccfac834... != declared 00066473...; Decisions on-disk f9045adf... != ",Two of the three surviving assets fail their own declared integrity check. The verified-transfer surface is a single JSON.
B-018,B01_asset_completeness,DIVERGENCE,"Root cause of the CSV divergence is a non-byte-faithful channel: declared hashes were computed over CRLF variants (5297B = 5271 LF-bytes + 26 lines; 4100B = 4071 + 29 lines), but the inline channel delivered LF-only file","Even for delivered assets the transfer medium normalizes line endings, so hash-based verification of any text asset over this channel is structurally impossible."
B-019,B01_asset_completeness,CONTINUITY_BREAK,"The QC apparatus cannot verify its own package membership inline. The QC package manifest (S11_PROJECT_TRANSFER_QC_PACKAGE_MANIFEST.csv), Council A prompt, Council B Claude prompt (this role's own charter, 2752B), and Ev",Council B operates without its authoritative prompt asset; the QC contract's own membership cannot be self-checked. Process continuity from contract to execution is broken.
B-020,B01_asset_completeness,MATERIAL_OMISSION,Every one of the 17 manifest rows carries required=yes; there is no optional/waivable tier. Consequently all 14 absences are required-asset failures under the manifest's own criterion — none can be dismissed as non-essen,The absence rate cannot be softened by arguing the missing items were optional. 14 required assets missing.
B-021,B01_asset_completeness,MATERIAL_OMISSION,"Direct answer to the mandate question: completeness CANNOT be assessed from the inline channel. With 14/17 required assets absent, no byte-anchor for the manifest itself, the second enumerating authority (Required_Assets","Any 'transfer complete' verdict would be unfounded. The correct QC posture is: completeness UNVERIFIABLE inline, not merely 'accounted-by-manifest'."
B-022,B01_asset_completeness,MATERIAL_OMISSION,"'Accounted-by-manifest' is being treated as equivalent to 'transferred', but the manifest only asserts existence in some source repo, not inline delivery. 13 (per baseline) / 14 (per recount) assets are asserted-but-not-",The manifest reference is an unbacked promise; there is no inline nor confirmed repo-side proof the 14 assets exist in the attested form claimed.
B-023,B06_manifest_selfconsistency,CONTINUITY_BREAK,Manifest listet sich selbst nicht (kein Self-Anchor-Row fuer AUTHORITATIVE_CONTEXT_MANIFEST.csv),Manifest hat keinen deklarierten eigenen Hash/Groesse -> ein getauschtes/editiertes Manifest ist gegen sich selbst nicht detektierbar; Vertrauensanker fehlt
B-024,B06_manifest_selfconsistency,DIVERGENCE,Inkonsistente Zeilenend-/Hashing-Konvention innerhalb desselben Manifests,"Der 'autoritative' Manifest mischt CRLF-basierte und LF-basierte SHA256 -> beweist >=2 Generierungsumgebungen/Passes; kein einheitlicher Kanon, kein Feld das dies ausdrueckt"
B-025,B06_manifest_selfconsistency,DIVERGENCE,size_bytes-Spalte der zwei CSV stimmt nicht mit der inline gelieferten Form,Ein strikter Groessencheck der inline-Artefakte scheitert an 2 von 17 Zeilen aus derselben CRLF-Ursache; size_bytes ist fuer die gelieferte Form nicht autoritativ
B-026,B06_manifest_selfconsistency,MATERIAL_OMISSION,13 von 17 required=yes Assets nicht inline uebertragen / nicht byte-verifiziert,Unter der Manifest-Semantik required=yes=Pflicht scheitern 13/17 Pflicht-Assets an der Lieferung; 'accounted-by-manifest' ist keine Byte-Verifikation
B-027,B06_manifest_selfconsistency,MATERIAL_OMISSION,5aa629d1 Reconciliation/Resume-Prompt required aber nie geliefert (Zirkularitaet),"Genau das Artefakt, das den autoritativen Kontext rekonziliieren/den Resume steuern wuerde, liegt ausserhalb des verifizierten Transfers -> selbstbezuegliche Autoritaetsluecke"
B-028,B06_manifest_selfconsistency,CONTINUITY_BREAK,"Drei ueberlappende, unrekonzilierte Inventare ohne Vorrangregel",Mind. drei Inventardateien koexistieren; kein Feld/keine Regel welches autoritativ ist -> Mehrdeutigkeit welche Liste bei Konflikt gilt
B-029,B06_manifest_selfconsistency,MATERIAL_OMISSION,Zwei ZIP-Container doppeln individuell gelistete Member und blaehen die Abdeckung,'17 required' zaehlt denselben Inhalt doppelt (einzeln + im ZIP); Container-Hashes ohne unzip nicht unabhaengig verifizierbar -> scheinbare Vollstaendigkeit ueberzeichnet
B-030,B06_manifest_selfconsistency,CONTINUITY_BREAK,"Governance-Prompts inkl. der mich steuernden COUNCIL_B-Prompt nur deklariert, nie geliefert","Die Prompts, die dieses QC-Verfahren definieren, sind selbst nicht byte-verifiziert -> das Kontrollregime kann seine eigene Integritaet nicht belegen"
B-031,B06_manifest_selfconsistency,DIVERGENCE,Manifest-Schema ohne Provenienz/Timestamp/Normalisierungs-Spalte,Kein Feld verankert WELCHER Lauf/Umgebung die Hashes erzeugt hat und dass LF/CRLF-Varianten aequivalent sind -> jeder strikte Hash/Size-Check der Inline-Form scheitert an 3 Spalten ohne Erklaerungsmoe
B-032,B06_manifest_selfconsistency,CONTINUITY_BREAK,Physische Materialisierungsmenge weicht von jedem einzelnen deklarierten Inventar ab,Eine der 4 tatsaechlich gelieferten Dateien fehlt in ihrem eigenen Inventar -> Bruch zwischen materialisiertem Set und deklariertem Set; keine geschlossene Rueckrechnung moeglich
B-033,B02_hash_divergence,DIVERGENCE,CRLF-Divergenz Register exakt reproduziert: Platte-LF-SHA=ccfac834 (5271B) != deklariert 00066473 (5297B); perl s/\n/\r\n/ ergibt exakt 5297B und SHA 00066473. Delta +26B = 26 LF-Zeilen. Deklarierter Hash zertifiziert ei,"Deklarierter Hash NUR aus CRLF reproduzierbar, nicht aus dem materialisierten LF-Artefakt"
B-034,B02_hash_divergence,DIVERGENCE,CRLF-Divergenz Decisions exakt reproduziert: Platte-LF-SHA=f9045adf (4071B) != deklariert 1216a780 (4100B); CRLF-Konversion ergibt exakt 4100B und SHA 1216a780. Delta +29B = 29 LF-Zeilen.,"Zweiter unabhaengiger Beleg: deklarierte CSV-Hashes sind CRLF-Bilder, nicht die uebertragenen Bytes"
B-035,B02_hash_divergence,DIVERGENCE,"Auch die size_bytes-Spalte ist ein Phantom: 5297/4100 sind CRLF-Byte-Zahlen; die materialisierten Dateien haben 5271/4071. Nicht nur der Hash, auch die deklarierte Groesse beschreibt ein nicht-existentes Bytebild.","Zwei Manifestspalten (sha256 + size_bytes) beschreiben ein Bild, das nie materialisiert wurde"
B-036,B02_hash_divergence,MATERIAL_OMISSION,"Der Inline-Kanal KANN die deklarierten CSV-Hashes prinzipiell nie reproduzieren: CR-Bytes sind auf Platte nachweislich 0 (grep -c CR = 0). Reproduktion erfordert eine kanal-externe unix2dos-Transformation. Ein Hash, den ","Deklarierte SHA256 ist Pruefsumme der Ursprungsdatei, nicht Integritaetsbeweis des Inline-Artefakts"
B-037,B02_hash_divergence,MATERIAL_OMISSION,"Manifest hasht INTERN INKONSISTENT: JSON wurde als LF gehasht (CRLF-Version=1356B != deklariert 1317B; LF-Platte=1317B, SHA 6ee04805 matcht), die beiden CSV dagegen als CRLF. Es gibt keine einheitliche EOL-Normalisierung",Manifest ist intern widerspruechlich; Hash-Eingabekonvention undokumentiert und asset-abhaengig
B-038,B02_hash_divergence,DIVERGENCE,"Der 'JSON-Match' der Baseline ist EOL-Policy-Zufall, nicht Kanaltreue. Alle drei Dateien liefen durch denselben LF-Inline-Kanal; JSON matcht nur, weil es zufaellig als LF gehasht wurde. Es ist FALSCH zu schliessen, der K","Reframing: Divergenzursache liegt im Manifest-Hashing, nicht im Transferkanal"
B-039,B02_hash_divergence,MATERIAL_OMISSION,"Nur 1 von 17 Manifestzeilen (JSON 6ee04805) ist aus materialisierten Bytes unabhaengig bestaetigbar = 5,9%. 2 divergieren (CSV), 14 sind byte-abwesend. Ein Manifest, dessen 16/17 Hashes man aus den vorliegenden Artefakte",94% der Integritaetsclaims nicht verifizierbar
B-040,B02_hash_divergence,CONTINUITY_BREAK,"Baseline-Zaehlung korrigiert: 14 (nicht 13) der 17 gelisteten Assets sind byte-abwesend. Materialisiert sind exakt 3 Manifest-Zeilen (JSON, Register, Decisions); das Manifest selbst ist keine eigene Zeile. Alle 14 abwese",Baseline undercount um 1; 14 Pflicht-Assets ohne Byte-Verifikation
B-041,B02_hash_divergence,MATERIAL_OMISSION,"Manifest ist unverankerte Vertrauenswurzel: eigener SHA256 (20a4c526) ist in keiner der vier Dateien deklariert, es existiert keine Signatur / kein .sig/.sha256/.asc-Sidecar. Das Verifikationsorakel selbst ist unsigniert",Root of trust ohne Anker/Signatur
B-042,B02_hash_divergence,MATERIAL_OMISSION,"Wegen inkonsistenter, undokumentierter EOL-Hash-Politik ist das Manifest als Verifikationsorakel fuer die 14 abwesenden Assets wertlos: waeren die 10 .md-Dateien (viele Zeilenumbrueche) als CRLF gehasht, wuerden sie nach",Manifest taugt nicht als kuenftiges Verifikationsorakel
B-043,B02_hash_divergence,DIVERGENCE,"Beweis, dass die Divergenz reine EOL ist (CRLF-SHA matcht Ziel exakt) - Inhalt der 2 CSV ist byte-identisch modulo Zeilenende, kein semantischer Verlust. ABER: genau deshalb wuerde ein strenges SHA256-Gate diese Artefakt","EOL-only-Divergenz, aber jede Hash-Match-Attestierung waere unwahr"
B-044,B02_hash_divergence,MATERIAL_OMISSION,"Manifest fuehrt keine Normalisierungs-Metadaten (keine Spalte fuer encoding, eol, hash-input-normalization). Ohne dokumentierte Hash-Eingabekonvention ist keine der 17 Angaben durch einen Dritten deterministisch reproduz",Fehlende Provenienz-/Normalisierungsmetadaten machen Reproduktion unmoeglich
B-045,B03_xmr_integrity,DIVERGENCE,Register content is not reproducible against its own declared authoritative hash.,The inline register cannot be byte-verified against the authoritative SHA256 in AUTHORITATIVE_CONTEXT_MANIFEST.csv; the register's integrity anchor is broken over the transfer channel.
B-046,B03_xmr_integrity,DIVERGENCE,The manifest — relied on to 'account for' 13 non-transferred assets — is itself wrong about an asset we can see.,"Because the manifest demonstrably mis-states size+hash for a required P0 asset that is present, its accounting of the 13 assets that are NOT present is unreliable — 'accounted-by-manifest' is not a tr"
B-047,B03_xmr_integrity,MATERIAL_OMISSION,Every one of the 25 findings rests on evidence that was not transferred inline.,The entire evidence column is a set of dangling pointers. Not a single XMR-CP finding is independently verifiable from the inline transfer — the register's core purpose (auditable substantiation) is u
B-048,B03_xmr_integrity,MATERIAL_OMISSION,The single most-cited evidence source is neither transferred nor listed in the authoritative manifest.,The evidentiary backbone of 8 findings is completely unaccounted — outside both the inline channel and the 17-asset manifest — so those findings cannot ever be reconciled from the declared authoritati
B-049,B03_xmr_integrity,MATERIAL_OMISSION,"A CRITICAL bypass finding is substantiated solely by a missing, unmanifested file.","The highest-impact commit-bypass finding has zero transferred and zero manifested substantiation, resting entirely on an artifact that does not exist in the authoritative context."
B-050,B03_xmr_integrity,DIVERGENCE,The register mixes two incompatible severity taxonomies with no defined ordering.,P0 and CRITICAL are unmapped scales — it is undefined whether XMR-CP-001 (P0) outranks XMR-CP-005 (CRITICAL). Severity is not comparably orderable and conflicts with the P0/P1 scheme used elsewhere in
B-051,B03_xmr_integrity,MATERIAL_OMISSION,A 'CROSS_MODEL' findings register records no model provenance.,"Findings cannot be attributed to Claude vs ChatGPT, defeating the dual-control audit premise mandated by DEC-003/DEC-004 (both models required, single-model decision prohibited). The register cannot d"
B-052,B03_xmr_integrity,CONTINUITY_BREAK,The register's open-CRITICAL findings contradict the authoritative GREEN state without reconciliation.,An 'ATTESTED_GREEN' candidate coexists with 10 unresolved P0/CRITICAL findings and the register provides no field reconciling the contradiction — a continuity break between the state JSON/decisions an
B-053,B08_omission_of_wip,MATERIAL_OMISSION,Kompletter V3-Code-Layer nicht transferiert,"Keines der 11 realen Arbeitsstand-Artefakte (3 Skripte, Testsuite, Pubkey, 6 Reports) ist im Inline-Kontext. Eine Fortsetzung erhaelt Zustands-Register OHNE den Code, dessen Zustand sie beschreiben."
B-054,B08_omission_of_wip,MATERIAL_OMISSION,V3-Council/Tribunal-Befunde des tatsaechlichen Laufs fehlen,"Die 8 realen Bypaesse (2 CRITICAL: Pubkey-Substitution CV3-1, Broker-promotet-aktive-Branch CV3-2; plus Attestation-Transplant, Ledger-nicht-append-only, Scope-Guard-Luecken, CASE_SIG-toter-Code) und "
B-055,B08_omission_of_wip,MATERIAL_OMISSION,Finding-Register CPR-001..015 + CODE-F1..F4 fehlt vollstaendig,Der eigentliche Remediations-Nachweis (9 CLOSED / 8 PARTIAL / 2 CARRIED von 19 Findings) ist nicht uebertragen. Die auftraggeberseitig genannten CPR-001..015 sind im 'authoritative context' schlicht a
B-056,B08_omission_of_wip,DIVERGENCE,Divergenz OPEN-vs-CLOSED zwischen Transfer und WIP,Der Transfer praesentiert bereits remediierte Themen als OPEN. Eine Fortsetzung wuerde geschlossene Arbeit erneut anfassen oder den wahren Restzustand falsch einschaetzen. Register und realer Arbeitss
B-057,B08_omission_of_wip,DIVERGENCE,Wahre Rest-Risiken (PARTIAL-Restpunkte) unter den Tisch gefallen,"Genau die sicherheitsrelevanten offenen Restpunkte (Alt-Gate-Bypass, fehlender harter Produkt-Commit-Guard CPR-010, direkte Git-Plumbing-Umgehung CPR-011, Pubkey-out-of-band-Pinning) sind im Transfer "
B-058,B08_omission_of_wip,MATERIAL_OMISSION,Manifest listet die WIP-Artefakte nicht -> Omission auf Manifest-Ebene unsichtbar,Anders als die 13 'accounted-by-manifest' P0-Assets sind die 11 WIP-Artefakte nicht einmal deklariert. Ein Empfaenger kann die Luecke nicht am Manifest erkennen; der Kontext gibt sich als vollstaendig
B-059,B08_omission_of_wip,MATERIAL_OMISSION,Trust-Root/Attestierung nicht wiederherstellbar,Ohne Pubkey und Attestierungscode kann eine Fortsetzung keine V3-Attestierung verifizieren oder erzeugen; die 'ATTESTED_GREEN_PENDING'-Angabe in project_state.json ist nicht nachpruefbar. Der beschrie
B-060,B08_omission_of_wip,CONTINUITY_BREAK,Candidate-Ref-Realitaet widerspricht Handoff,"Der Kandidat liegt real weder auf einer Ref noch im Transfer, sondern nur als off-git-Freeze. project_state.json (candidate commit 5ebc7ad, tree 2aa02bb) suggeriert einen greifbaren Kandidaten, den ei"
B-061,B08_omission_of_wip,DIVERGENCE,"next_claude_trigger impliziert unbegonnene Remediation, die real teils erledigt ist","Der Transfer weist die Remediation als naechsten (noch zu leistenden) Schritt aus, obwohl der WIP sie substantiell durchgefuehrt und reproduziert hat. Eine Fortsetzung startet auf falschem Fortschritt"
B-062,B08_omission_of_wip,MATERIAL_OMISSION,Testsuite als Fortschritts-/Reproduktionsnachweis fehlt,"Die im Register zitierten deterministischen Reproduktionen (test c1, d1/d2, e2 ...) sind ohne die Testdatei nicht nachvollziehbar. Die Behauptung 'CLOSED (test ...)' ist im Transfer unbelegt; ein Kern"
B-063,B08_omission_of_wip,MATERIAL_OMISSION,Trust-Root-Design-Dokument (Architektur-WIP) nicht uebertragen,"Die als blocked_until benannten Architektur-Bausteine haben ihren Entwurf nur im nicht-transferierten Trust-Root-Design. Eine Fortsetzung kennt die Blocker-Namen, nicht deren Design -> kann sie nicht "
B-064,B08_omission_of_wip,MATERIAL_OMISSION,"content_state_gate.py (CONTENT/STATE-Trennung, CASE_SIG) nicht transferiert","Der Gate-Mechanismus, der Klartext-Falldaten (Betrag/Datum/IBAN/Firmierung) blocken soll (CV3-6) und Content- von State-Gate trennt, ist im Transfer nicht vorhanden. Eine mandatsdatensensible Kontroll"
B-065,B08_omission_of_wip,MATERIAL_OMISSION,Gesamtbewertung Ausreichbarkeit fuer Fortsetzung,"Der 'authoritative context' beschreibt WAS zu tun ist, liefert aber nicht den tatsaechlichen Codestand, dessen Fortschritt und dessen offene Restpunkte. Fuer eine regelkonforme, nicht-halluzinierende "
B-066,B05_continuity_repo,MATERIAL_OMISSION,Verify candidate commit 5ebc7adb934... exists as a real git object in the current repo (state.json current_control_plane_candidate).,Commit object 5ebc7ad found in NO live repo and NO bundle. It appears only as text inside cross_model_review/bundle_staging (reports + git_diff_670e362_5ebc7ad.patch). Not git-verifiable.
B-067,B05_continuity_repo,DIVERGENCE,Confirm main really equals 5ebc7ad (orchestrator baseline / transfer premise).,No live repo has main=5ebc7ad. The only live repo's main=4c3acb2 and it contains neither 5ebc7ad nor 670e362. 'main=5ebc7ad' is not reproducible on disk.
B-068,B05_continuity_repo,MATERIAL_OMISSION,Confirm a real V2 attestation record for 5ebc7ad exists (state.json attestation=ATTESTED_GREEN_PENDING_GATECODE_REVIEW).,"Only example_attestation_v2.SYNTHETIC.json exists (ticket_id 'SYNTHETIC_EXAMPLE', gate_run_id 'synthetic'). No signed record binds 5ebc7ad. The ATTESTED_GREEN claim rests on prose reports only."
B-069,B05_continuity_repo,DIVERGENCE,Cross-check state.json candidate field against the authoritative PRODUCT_CANDIDATE_REGISTRY (source of truth).,"Registry records candidate_commit=HEAD, status=STAGED_TREE_ATTESTATION_HARDENED_CANDIDATE, review_status=PENDING_CROSS_MODEL_REVIEW. state.json upgrades this to concrete SHA 5ebc7ad + 'ATTESTED_GREEN_"
B-070,B05_continuity_repo,DIVERGENCE,Test whether 'ATTESTED_GREEN' overstates the candidate's real gate status.,"Max status is explicitly '...PENDING_CROSS_MODEL_REVIEW', NOT L99/QUALITY_CONFIRMED; report states 'kein Selbst-Final-Green' and cross-model review is a precondition. Transferred field is a conditiona"
B-071,B05_continuity_repo,CONTINUITY_BREAK,Check temporal continuity: state.json date vs today and intervening progress.,"Entire 2026-07-13 V3-WIP build (WIP-001..011, 11/11 frozen) is absent from the transferred state. The transfer carries a snapshot frozen before the V3 attempt."
B-072,B05_continuity_repo,MATERIAL_OMISSION,Check whether the 17-row manifest accounts for post-07-12 progress artifacts.,"None present. Manifest omits WIP_FREEZE_MANIFEST, TRANSFER_QC_RESULT, and the cross_model_review 5ebc7ad review bundle — all real, newer authoritative evidence."
B-073,B05_continuity_repo,CONTINUITY_BREAK,Check whether next_claude_trigger is still live/actionable or already superseded.,next_claude_trigger='S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION' points at V3 work that on 2026-07-13 was already attempted and HARD_STOP/V3_RESUME_BLOCKED. Transfer would re-trigger 
B-074,B05_continuity_repo,MATERIAL_OMISSION,Check whether the transfer carries the 07-13 QC verdict that contradicts its own availability premise.,"07-13 QC declares XMR 0/25, critical decisions 0/28, P0 handoff assets 0% findable (local+Drive) — TRANSFER_QC_NOT_VERIFIED. This directly contradicts the inline-transfer premise that the authoritativ"
B-075,B05_continuity_repo,MATERIAL_OMISSION,Verify declared candidate tree 2aa02bba... and parent 670e362 lineage.,Tree SHA and parent lineage cannot be reconstructed or confirmed from a plain diff dump; no git objects for 670e362 or 5ebc7ad exist on disk. Declared tree/parent are unverifiable.
B-076,B09_decision_enforceability,MATERIAL_OMISSION,"P0-Entscheidungen ohne jede Durchsetzungslogik: grep nach DEC-0 ueber beide Repos findet die IDs ausschliesslich in DECISIONS.csv selbst. Kein Script, Hook, Gate oder Guard referenziert eine einzige P0-Entscheidung. Enfo",Einziger Treffer = die CSV selbst; Durchsetzung real nicht vorhanden
B-077,B09_decision_enforceability,MATERIAL_OMISSION,"JSON-Invarianten (single_model_decision_prohibited:true, organ_decision_outside_ai:true, cross_model_dual_control_required:true) sind editierbare Literale in einer losen Datei, kein Waechter. Jeder schreibende Prozess ki",Deklaration statt Enforcement; still umschaltbar
B-078,B09_decision_enforceability,CONTINUITY_BREAK,"Kein Signatur-Objekt auf den transferierten Entscheidungen/Manifest. Der inline-Ordner enthaelt 0 .sig-Dateien, obwohl signer/ed25519_private.pem und s11_control_plane_p0/attest_hmac.key existieren. Die Entscheidungen ko",Entscheidungen unsigniert; Authentizitaet nicht durchsetzbar
B-079,B09_decision_enforceability,CONTINUITY_BREAK,"Der einzige existierende Integritaetsgate schlaegt bereits fehl: Manifest deklariert DECISIONS.csv sha256=1216a780..., real ist f9045adf... (CRLF-Divergenz, 4071 vs 4100 Bytes). Ein manueller shasum-Check wuerde die uebe",Enforcement-Artefakt bereits at-rest gebrochen
B-080,B09_decision_enforceability,CONTINUITY_BREAK,"AUTHORITATIVE_CONTEXT_MANIFEST.csv listet sich selbst NICHT -> seine eigenen deklarierten Hashes sind unverankert. Angreifer editiert die Manifest-Hashwerte passend zu manipulierten CSVs; nichts entdeckt es, da kein uebe",Vertrauenswurzel selbst uneingeschraenkt umschreibbar
B-081,B09_decision_enforceability,DIVERGENCE,"DEC-026 verlangt 'Git objects prevail', doch wpno-secure-case-ledgers ist gar kein Git-Repo (git status: not a git repository). Der Ledger, der den autoritativen Zustand haelt, hat keine Commit-Historie, keine Immutabili",Kein Git-Objektgraph = keine Unveraenderlichkeit fuer P0-State
B-082,B09_decision_enforceability,MATERIAL_OMISSION,"Funktionstrennung verletzt: signer/ed25519_private.pem liegt im selben Baum, den der pruefende Council-B-Agent liest. Wer die CSV editieren kann, kann sie auch (neu) signieren. Damit sind DEC-024 (kein Self-Approval durc",Signer=Reviewer=Editor moeglich; Dual-Control krypto-seitig wertlos
B-083,B09_decision_enforceability,CONTINUITY_BREAK,"attest_hmac.key ist ein symmetrischer HMAC-Schluessel im selben Baum. HMAC bietet keine Nichtabstreitbarkeit: Verifizierer und Erzeuger sind identisch, es laesst sich nicht beweisen, WELCHE Partei attestiert hat. 'ATTEST",Attestierung ohne Urheberschaftsbeweis; DEC-024 nicht erzwingbar
B-084,B09_decision_enforceability,MATERIAL_OMISSION,"Alle 28 Entscheidungen tragen status_at_transfer=TO_VERIFY, keine ist VERIFIED. required_coverage verlangt EXPLICIT_IN_AUTHORITATIVE_HANDOFF, doch HANDOFF_MASTER.md und FINAL_PROMPT wurden inline NICHT uebertragen. Die E",Enforcement-Basis selbst unverifiziert im Transfer
B-085,B09_decision_enforceability,MATERIAL_OMISSION,"DEC-019 'kein Push' ist reine Beobachtung (remote_count=0), kein Guard. Es gibt keinen pre-push-Hook, und der Ledger ist nicht einmal ein Git-Repo. Ein spaeterer Push wird durch nichts technisch verhindert; die Regel hae",'No push' technisch nicht erzwungen
B-086,B09_decision_enforceability,DIVERGENCE,"Divergenz Zustand vs. Realitaet: real main=5ebc7ad ist exakt der Control-Plane-Candidate, den STATE.json/DEC-012 als ATTESTED_GREEN_PENDING_GATECODE_REVIEW mit quality_confirmed=false und release_decisions=0 fuehrt. Der ","Pending-Candidate = HEAD ohne Freigabe; genau die stille Verletzung, die B09 sucht"
B-087,B09_decision_enforceability,CONTINUITY_BREAK,"Keine Bindung zwischen DECISIONS.csv-Zeilen und den JSON-Invarianten. Zwei unabhaengig editierbare Dateien koennen driften (z.B. JSON official_count auf 99, waehrend DEC-014 bei 27 bleibt) ohne jede Konsistenzpruefung. '",Stille Drift zwischen den beiden Enforcement-Traegern moeglich
B-088,B09_decision_enforceability,DIVERGENCE,"Council-B-Inventory ist das einzige Objekt, das das Manifest referenziert - eine Auflistung, keine Verifikation. Sie erzeugt Schein-Assurance ('accounted'), waehrend 13/17 Manifest-Assets nie byte-technisch inline ankame","Nur Listing, keine Byte-Verifikation; Fehlassurance-Risiko"
