role_id,claim_tested,verified,evidence,counterexample,remaining_gap,severity,l99_effect
A12,"Die Baseline erfasst Reproduzierbarkeits-/Erzeugungsprovenienz (run_id, prompt_hash, model_version, tool_version, input_manifest, output_hash, schema_version, git_sha).",true,Eigener JSON-Parser ueber alle 10 Artefakt-Schemata: run_id/prompt_hash/model_version/model_id/tool_version/validator_version/input_manifest/output_hash/content_hash/sha256/checksum/schema_version/git_sha/git_commit = durchgehend ABSENT (einzige 'model'-Treffer sind fachliche Felder modell_handhabun,,"Die Baseline ist nicht auf Modell/Prompt/Tool/Lauf zurueckfuehrbar und damit nicht reproduzierbar/attribuierbar; kein Nachweis, welcher KI-Lauf welche Zeilen erzeugt hat.",HIGH,WARN
A12,Modellversion wird erfasst bzw. Modellversionsdrift ist erkennbar (actor_type=AI_LEVEL_6).,false,"META_RULES['actor_type']=`^AI_LEVEL_6$` (Zeile 36 _s11_006d_spec_validator.py). Unabhaengige Regex-Pruefung: 'AI_LEVEL_6'->True, aber 'AI_LEVEL_6 (claude-opus-4-8)'->False, 'claude-opus-4-8'->False, 'AI_LEVEL_6/model=opus-4.8'->False. AI_LEVEL_6 ist eine Faehigkeitsstufe, keine Modellversion. Ein sp","Regeneriert eine neue Claude-/Fremdmodell-Version die 006D-Artefakte, bleibt actor_type identisch 'AI_LEVEL_6'; jeder Versuch, die tatsaechliche Modellversion mitzuschreiben, FAILt die Guard check_006",Keine In-Band-Erfassung der Modellidentitaet/-version; Drift nicht detektierbar.,HIGH,WARN
A12,Das eingefrorene Schema traegt eine Versionskennung bzw. ist gegen Drift per Hash gepinnt (schema_version/output_hash).,false,JSON-Parse von S11_PS861_006D_SPEC_ONLY_SCHEMA.json: keine der Schluessel version/schema_version/$id/$schema/__version__ vorhanden (10 rein fachliche Top-Level-Keys). grep in check_006d_closed_spec_schema.py und _s11_006d_spec_validator.py nach sha256/md5/hashlib/SCHEMA_HASH/expected_hash -> kein Tr,"Wird das 'eingefrorene' Schema geaendert, tragen weder Schema noch Artefakte einen Versionsstempel; welche Schemafassung eine Zeile validiert hat, ist nicht rekonstruierbar, und ein Schema-Swap wird n","Kein schema_version-Stempel in Artefakten, kein Schema-Hash-Pin; 'Freeze' beruht allein auf git.",MEDIUM,WARN
A12,created_at_utc liefert eine echte maschinelle Erzeugungs-Zeitprovenienz je Lauf.,false,"Eigener CSV-Parser ueber alle 10 vorhandenen reports/*.csv: created_at_utc in JEDER Zeile identisch '2026-07-10T00:00:00Z (Laufdatum 006D)' (distinct=1 pro Datei, ueber ~90+ Zeilen, Mitternacht). Grammatik META_RULES['created_at_utc'] whitelistet explizit die Platzhalterform '( \(Laufdatum 006D\))?'","Zwei verschiedene 006D-Laeufe/Reruns erzeugen denselben handgesetzten Mitternachts-Zeitstempel; das Feld unterscheidet Reruns nicht und ist ein manuell deklariertes Lauf-Datumslabel, kein maschinell e",Kein realer Laufzeitstempel; keine Unterscheidbarkeit von Reruns/Regenerierungen.,LOW,NONE
A2,"Die 006D-Guards schuetzen den committeten Inhalt der Steuer-/Public-Creditor-Register (kein Verstecken oeffentlicher Glaeubiger, OEFFENTLICHE_GLAEUBIGER_UNSICHTBAR/SONSTIGE_VERSTECKEN wird verhindert).",true,Sandbox-Git-Repo (scratchpad/stagedblob_poc) mit echtem check_006d_public_creditor_not_hidden_or_unverified_ranked.py + _bl02_common.py + reports/S11_PUBLIC_CREDITOR_UNIVERSE_AND_RISK_MODEL.csv. Positivkontrolle: manipulierte CSV ohne FINANZAMT-Zeile -> Guard FAIL exit=1 ('Pflicht-Glaeubigertyp FINA,,"Deckt sich mit dem bereits deterministisch belegten P0 (Guards lesen Working-Tree, nicht Staged-Blob); hier fuer die Steuer-/Public-Creditor-Schicht konkret instanziiert. Fix erfordert Isolation via g",P0,BLOCK
A2,Die eingefrorenen SV-Werte sind fachlich richtig: SVV-06 Minijob-Pauschalabgaben an_anteil_anwendbar=NEIN (kein Arbeitnehmeranteil).,partial,"reports/S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER.csv SVV-06: an_anteil_anwendbar='NEIN', zugleich 266a_reviewfrage='BERUFSTRAEGER_REVIEWFRAGE (RV-Eigenanteil §168 Abs.1 Nr.1b SGB VI, sofern nicht befreit)'. Beim gewerblichen Minijob besteht RV-Pflicht mit AN-Eigenanteil (~3,6% Aufstockung 15%->18,","Nicht von der RV befreiter Minijobber: 3,6% RV-Eigenanteil = AN-Anteil vorhanden -> an_anteil_anwendbar='NEIN' ist falsch und unterschaetzt die §266a-Exposition in der Insolvenzreife-Betrachtung.","Verteidigbare Gegenlesart: 'NEIN' bezieht sich nur auf die reine Pauschal-Abgabe dieser Zeile (arbeitgebergetragen), der AN-RV-Eigenanteil waere separat zu modellieren — es gibt jedoch keine getrennte",MEDIUM,WARN
A2,"additive_partition_id trennt Steuerarten so, dass der Partitions-Integritaetsguard nicht-additive Stapelung ueber Steuerarten verhindert (NICHT_ADDITIVE_BETRAGSACHSEN-Schutz).",true,"reports/TAX_LIABILITIES_VISUALIZATION_REGISTER.csv: TXV-01..05,07,08 (USt/LSt/KSt/GewSt/KapESt/Zoll/Sonstige) tragen ALLE denselben additive_partition_id-Platzhalter 'PFLICHT (nur gleiche Partition ist stapelbar)'; nur TXV-06 traegt 'SALDO_GESAMT_FA (...)'. Schema-FROZEN_SET fuer additive_partition_",,"SPEC_ONLY: es existieren keine Realbetraege, echte Partitionslogik liegt im liability_universe-Crosswalk downstream; praktische Fehlsummierungsgefahr daher begrenzt. Aber der Freeze konserviert einen ",LOW,WARN
A4,Die 15 006D-Guards sichern die insolvenzrechtlichen SPEC-Artefakte gegen committete Manipulation (keine KI-Feststellung von Fremdantrag §14 / Zahlungsunfaehigkeit §17).,true,Git-Sandbox: reports/S11_TAX_SV_VALUATION_FIELD_DECISION_CLASS_MAP.csv als gestageter Blob mit cell_decision_class='KI_STELLT_FEST: Fremdantrag §14 InsO zwingend; Zahlungsunfaehigkeit liegt vor' fuer valuation_field=fremdantrag_reviewfrage; Working-Tree auf sauberen Originalwert BERUFSTRAEGER_REVIEW,,"Guards muessten den zu committenden Blob pruefen (git cat-file/pre-commit gegen Index-Objekte) statt des Working-Tree; solange nicht, ist der gesamte A4-Schutz per Staged-Blob passierbar. Der volle Ga",CRITICAL,NONE
A4,check_006d_public_creditor_not_hidden_or_unverified_ranked erlaubt affirmative Rang-/Zahlungsempfehlungen fuer oeffentliche Glaeubiger nur negiert/als Reviewfrage und OHNE Satzkontext-Exkulpation (so der Docstring).,true,"Realer Guard gegen Sandbox-CSV: Zelle 'Finanzamt vorrangig zu zahlen, ohne Ausnahme (Reihenfolge der Tilgung: FA zuerst)' matcht RANK (vorrangig zu zahlen / reihenfolge der tilgung), aber Zeile 39 `not re.search(r'\b(kein|keine|nie|nicht|ohne|verbot)\w*', s)` findet 'ohne' -> Guard meldet 'ok | Vers",,"Im Standard-Gate ist die PC-CSV komplett FROZEN_SET, sodass dieser Einzelwert zusaetzlich von check_006d_closed_spec_schema gefangen wuerde; die Wirkung ist Defense-in-Depth-Erosion und wird voll scha",MEDIUM,NONE
A4,"Kein insolvenzrechtliches Wertungsfeld kann im eingefrorenen Schema von BERUFSTRAEGER_REVIEWFRAGE auf eine KI-Faktum-Klasse herabgestuft werden, ohne dass Guards/Gate-Test anschlagen (keine automatische Subsumtion).",partial,Sandbox ohne Staged-Blob: druckzahlung_indikator_131 (§131 InsO) cell_decision_class von BERUFSTRAEGER_REVIEWFRAGE auf 'KI_VORARBEIT (Faktum) + Wertung Berufstraeger' gesetzt — Wert ist im FROZEN_SET von cell_decision_class enthalten. check_006d_closed_spec_schema und check_006d_decision_class_singl,,"Der volle Gate-Lauf wurde nicht ausgefuehrt; test_131 liest ROOT/reports fix (nicht ueber WPNO_BL02_REPORTS umlenkbar ohne Produktdatei-Aenderung), daher ist die Test-Ausnahme durch Codelesen, nicht d",MEDIUM,NONE
A5,Schema-Versionsfeld und Migrationspfad vorhanden.,false,Schema-JSON ohne schema_version/version/migration; Manifest schema_version=1 wird von keinem Guard erzwungen.,,Kein Versionsbump/Migrationsmechanismus.,HIGH,NONE
A6,Der Amount-Axis-Guard + Frozen-Set-Validator verhindern Doppelzaehlung eines Aggregats gegen seine Einzelposten (Anti-DOPPELZAEHLUNG_ANMELDUNG_BESCHEID / HAFTUNG_DOPPELZAEHLUNG / NICHT_ADDITIVE_STAPELUNG).,false,"steuerart, additive_partition_id und betragsachsen_rolle sind drei UNABHAENGIGE FROZEN_SETs; validate_cell prueft nur Mengenzugehoerigkeit je Zelle, keine Kreuzbindung. Kein 006D-Guard liest steuerart (grep: 0 Treffer ausser Enum). Sandbox-Reproduktion: TXV-06 steuerart='Steuerkonto-Saldo (FA gesamt",,Kein Guard bindet die Aggregat-Steuerart (Steuerkonto-Saldo FA gesamt) an die SALDO-Partition/Rolle. Fix erfordert Kreuzfeld-Regel steuerart==Saldo => additive_partition_id/betragsachsen_rolle==SALDO_,HIGH,NONE
A6,Der Aggregat-vs-Einzelposten-Doppelzaehlungscheck (check_006d_amount_axis_and_partition_integrity.py Zeile 42-47) ist ein wirksames Kontrollmittel gegen geteilte Partitionen.,false,"Der Check definiert agg = Zeilen mit Token AGGREGAT/SALDO_GESAMT in additive_partition_id und comp = Rest, und feuert nur bei EXAKTER String-Gleichheit agg.partition==comp.partition. Da additive_partition_id ein FROZEN_SET mit genau 2 disjunkten Werten ist, tragen comp-Zeilen IMMER 'PFLICHT (nur gle",,"Der Check erweckt den Eindruck einer aktiven Doppelzaehlungs-Kontrolle, kann aber nie ausloesen. Er verpasst genau den in Finding 1 gezeigten Angriff (Aggregat mit Einzelposten-Partition landet gar ni",MEDIUM,NONE
A6,"Im SV-Register werden STOCK-Klassen (Rueckstand) und FLOW-Klassen (Beitragsnachweis-Soll/Zahlung) so partitioniert, dass sie nicht additiv stapelbar sind (STOCK_VS_FLOW / NICHT_ADDITIVE_BETRAGSACHSEN).",false,"S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER.additive_partition_id ist ein FROZEN_SET mit GENAU EINEM Wert ('PFLICHT (nur gleiche Partition stapelbar)') -> alle 12 Klassen (SVV-01 Gesamt-SV-Rueckstand=STOCK, SVV-02 Beitragsnachweis-Soll=FLOW, SVV-03 Zahlungsfluss=FLOW, ...) sind in EINER stapelbaren P",,Weder additive_partition_id noch stock_or_flow diskriminieren die SV-Klassen; das eingefrorene Schema widerspricht der eigenen Regel 'STOCK/FLOW nicht additiv'. Fix: getrennte Partitions-IDs je STOCK/,MEDIUM,NONE
A7,"Closed positive schema + dedicated no-case-values guard prevent any Mandats-/Falldaten (amounts, company names, IBANs) from being committed into a SPEC cell.",true,"_s11_006d_spec_validator.py:95 validate_cell ID-branch returns None whenever `pref and v.startswith(pref)` — the remainder after the id_prefix is never validated. check_006d_no_case_values_in_spec.py:20 gates its flag on `if sig and V.validate_cell(a,f,val)`, so when validate_cell returns None the (",,9 ID fields across the 10 artifacts (one per artifact except the decision-class map) are each an open comma-free free-text channel; only commas (which would create surplus columns) and the leading cha,HIGH,BLOCK
A7,Every cell of every SPEC CSV is positively validated; UNKNOWN_FIELD/surplus columns are rejected.,true,"validate_artifact_rows (_s11_006d_spec_validator.py:118-130) computes the UNKNOWN/MISSING header check from `rows[0].keys()` only, then iterates `for field in declared: r.get(field)` — it never reads csv.DictReader's restkey (default key None) where surplus cells are packed. Reproduced: sandbox sbfu",,"check_006d_no_case_values_in_spec does iterate r.items() and would scan the surplus, but it CRASHES with an unhandled TypeError ('expected string, got list', _s11_006d_spec_validator.py:69) because th",HIGH,BLOCK
A7,The content-type/magic 'format hardening' layer (check_006d_content_type_and_magic) rejects binary/non-text payloads in SPEC CSVs.,true,"content_type_violation (_s11_006d_spec_validator.py:134-165) checks extension, leading magic bytes, and scans text for data:/base64/SVG-HTML markup — but NUL (0x00) and other C0 control bytes are valid UTF-8, so raw.decode('utf-8') succeeds, the magic check only inspects the head, and no rule target",,"Only C0 controls tested; a format-hardening layer should reject the whole C0 range (and arguably C1/bidi-control) in SPEC text. Note: csv.DictReader in Python 3.11 did NOT raise on the NUL, so there i",MEDIUM,WARN
A8,"The 006D guards validate what gets committed (staged/committed blob), so a hardened baseline cannot commit a forbidden payload.",true,"In isolated clone at 670e362: wrote %PDF-1.7 + data:-URL payload into reports/TAX_LIABILITIES_VISUALIZATION_REGISTER.csv, git add, then restored clean worktree. All 15 check_006d_*.py + check_s11_tax_sv_visualization_model_spec_only.py exit 0 (PASS=15 FAIL=0). git show :0: and git cat-file HEAD:... ","commit ec577ed (isolated clone) = all guards green, committed spec CSV = embedded PDF/data-URL payload.","Fix requires guards to validate the staged blob (git show :0:) or a checked-out index tree, not the worktree; not present at 670e362.",P0,BLOCK
A8,"The green-marker attestation (write_green_marker via git write-tree) + ci_gate attest-head/verify binds gate-greenness to the committed tree, closing the staged-blob gap post-commit.",true,write_green_marker records git write-tree (the STAGED index tree). Reproduced: guards pass on clean worktree; marker tree = index tree 25d024c; commit 787872b tree = 25d024c (marker==commit-tree YES); ci_gate.py attest-head + verify print 'HEAD 787872b GRUEN attestiert'; git show HEAD:...csv = '%PDF,commit 787872b receives GREEN attestation while carrying the embedded PDF payload.,Attestation certifies a tree the guards never validated; it inherits rather than closes the gap. Needs the gate to run guards against the exact tree it attests.,HIGH,BLOCK
A8,"The hook-independent central CI gate (ci_gate.py run, docstring 'volles Gate auf HEAD') independently validates the HEAD commit content and does not rely on the commit hook.",true,"cmd_run computes commit,tree=head_commit_tree() and write_attestation against HEAD, but ok=run_full_gate() merely subprocesses scripts/run_precommit_quality_gate.py with cwd=REPO. That gate runs the same guards, which read the working-tree filesystem (B.repdir()); neither ci_gate.py nor run_precommi",ci_gate run on a repo whose HEAD tree=malicious but worktree=clean attests HEAD GREEN (CENTRAL_GATE_RUN).,"Even the 'independent' central authority validates the worktree, not the attested HEAD tree; confirmed statically via the code path (full-gate run skipped due to unrelated heavy suite).",HIGH,BLOCK
A9,Docstring check_006d_no_nested_git_directory: 'jedes verschachtelte .git/.GIT ... unter Projektpfaden ist verdaechtig' — Submodule/nested-git werden projektweit erkannt.,true,"Sandbox WPNO_BL02_REPORTS=<sb>/reports. Gitlink-Datei <sb>/legal_corpus/evilsub/.git, volles <sb>/matters/x/.git/ und <sb>/daten/.git angelegt. Beide Guards (check_006d_no_nested_git_directory.py UND check_006d_paths_and_symlinks.py) -> 'Verstoesse=0' exit=0. Kontrolle: identische Gitlink-Datei unte",,"Committetes Submodul-/gitdir-Pointer-.git in legal_corpus/, matters/, judgment_corpus/, daten/, licensed_sources/, quellen/, fixtures/, verifikation/, ledgers/, schemas/, libra/, githooks/, backups_ma",MEDIUM,NONE
A9,"Die Symlink-/Link-Haertung der SPEC_ONLY-Schicht deckt Dateisystem-Links in reports/ ab (manifest symlink_allowed=false, SPEC_ONLY_SYMLINK_FORBIDDEN).",partial,"Hardlink (ln, kein ln -s) <sb>/reports/hardlinked_report.md auf <sb>/outside_target.txt: os.path.islink=False, st_nlink=2. check_006d_paths_and_symlinks.py -> 'Verstoesse=0' exit=0. Guards nutzen ausschliesslich os.path.islink (paths_and_symlinks Z.25, path_symlink_violation Z.170), das fuer Hardlin",,"Reiner Hardlink liefert KEINEN belegten Inhalts-Bypass: Content-Guards lesen die Inode-Bytes (Magic/UTF-8/Base64/Schema) und Git committet Inhalt, nicht den Link -> Impact gering. Die 'keine Links'-In",LOW,NONE
