finding_id,origin,status,befund_kurz,verweis
RCK2-02,RCK2 (dieser Recheck),NOT_CLOSED,Keine Bindung der geprueften Hashes an den Commit-Tree; Datei kann nach Validierung/vor Commit geaendert werden (gleiche Wurzel wie RCK2-01),S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
RCK2-03,RCK2 (dieser Recheck),NEW_FINDING,META-Grammatik ist rein STRUKTURELL: der ISO-Regex akzeptiert semantisch unmoegliche Zeitpunkte (Monat 13: 2026-13-01T00:00:00Z),S11_PS861_006D_META_SEMANTIC_VALIDATION_FIX
RCK2-04,RCK2 (dieser Recheck),NEW_FINDING,"Frozen-Set-Pruefung normalisiert Whitespace statt byte-exakt; Wert mit Trailing-Space wird akzeptiert -> Claim ""vollstaendig eingefroren"" is",S11_PS861_006D_META_SEMANTIC_VALIDATION_FIX
RCK2-05,RCK2 (dieser Recheck),NEW_FINDING,Mutation-Score 71% (5/7); kritischer Ueberlebender S4: die ftyp-Magic-Erkennung (MP4/MOV/HEIC) hat KEINEN Test -> Regression bliebe unentdec,S11_PS861_006D_TEST_QUALITY_MUTATION_FIX
RCK2-06,RCK2 (dieser Recheck),NEW_FINDING,Oracle-Abhaengigkeit: Hardening-Tests importieren den Produkt-Validator (18 Aufrufstellen) als Oracle; subtile Mutationen teilweise unsichtb,S11_PS861_006D_INDEPENDENT_ORACLE_TESTS_FIX
RCK2-07,RCK2 (dieser Recheck),NEW_FINDING,Schema wurde EMPIRISCH aus den vorhandenen Artefakten abgeleitet; kein unabhaengiger Fachrichtigkeits-Nachweis der eingefrorenen Werte -> ei,S11_PS861_006D_BERUFSTRAEGER_SCHEMA_CORRECTNESS_REVIEW
RCK2-08,RCK2 (dieser Recheck),NEW_FINDING,Keine erfasste Lauf-Provenienz (Run-ID/Prompt-Hash/Modellversion/Tool-Version/Input-Manifest/Output-Hash) fuer die 006D-Artefakte -> spaeter,S11_PS861_006D_RUN_PROVENANCE_FIX
RCK2-09,RCK2 (dieser Recheck),NEW_FINDING,ID-Feld-Falldatenschmuggel: nach id_prefix-Match kehrt validate_cell ohne Falldaten-Scan zurueck; IBAN + Firmenname (Mandatsdaten) passieren,S11_PS861_006D_ID_META_CASE_DATA_CHANNEL_FIX
RCK2-10,RCK2 (dieser Recheck),NEW_FINDING,META-Freetext-Schmuggel: Regex ^UNREVIEWED( \(fail-closed[^)]*\))?$ matcht beliebigen Klammerinhalt; Betrag+Datum+Steuernr passieren,S11_PS861_006D_ID_META_CASE_DATA_CHANNEL_FIX
RCK2-11,RCK2 (dieser Recheck),NEW_FINDING,Ausgabeflaeche NICHT geschlossen: closed_spec/no_case_values pruefen nur die 10 Top-Level-Basenamen; neue/Unterordner/tiefe Geschwister-CSV/,S11_PS861_006D_CLOSED_OUTPUT_SURFACE_FIX
RCK2-12,RCK2 (dieser Recheck),NEW_FINDING,Schema-Trust-Root ungebunden: Validator laedt Schema-JSON aus dem WORKING TREE ohne Integritaetsbindung; geaenderte/unbekannte Schema-Versio,S11_PS861_006D_SCHEMA_INTEGRITY_PIN_FIX
RCK2-13,RCK2 (dieser Recheck),NEW_FINDING,"Variante: SPEC-Datei nach git add aus dem Working-Tree entfernt -> os.walk des Guards sieht sie nicht, boeser Blob wird committet",S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
RCK2-14,RCK2 (dieser Recheck),NEW_FINDING,Hardlink umgeht Symlink-Guard (islink=False); nested .git-dir/submodule/.gitmodules/LFS-Pointer ausserhalb der Scan-Coverage,S11_PS861_006D_PATH_HARDLINK_SUBMODULE_FIX
RCK2-15,RCK2 (dieser Recheck),NEW_FINDING,"Format: Polyglot mit Text-Praefix + Trailing-Container (zip/pdf/gzip), .rtf-Luecke (Endung+Magic), unvollstaendige SVG/HTML-Regex (table/can",S11_PS861_006D_FORMAT_POLYGLOT_CLOSED_TYPE_FIX
RCK2-16,RCK2 (dieser Recheck),NEW_FINDING,"Keine Kombinations-Invarianten: einzeln gueltige Frozen-Werte ergeben unzulaessige Kombination (decision-class-downgrade, §266a-AN-Anteil fa",S11_PS861_006D_CROSS_FIELD_INVARIANTS_FIX
RCK2-17,RCK2 (dieser Recheck),NEW_FINDING,"DoS: content_type_violation liest ganze Datei (unbounded), validate_artifact_rows materialisiert alle Zeilen, amount_axis-Guard quadratisch ",S11_PS861_006D_RESOURCE_BOUNDED_GUARDS_FIX
RCK2-18,RCK2 (dieser Recheck),NEW_FINDING,Public-Creditor-Label/Typ-Swap versteckt Finanzamt (jede Zelle bleibt im Frozen-Set); Ranking-Empfehlung via Negationssatz akzeptiert,S11_PS861_006D_PUBLIC_CREDITOR_ROW_CONSISTENCY_FIX
RCK2-19,RCK2 (dieser Recheck),NEW_FINDING,"A1: eingefrorenes Schema konserviert FALSCHEN BGH-10%-Massstab (zu mild/symmetrisch; laesst ""an Sicherheit grenzende Wahrscheinlichkeit"" IX ",S11_PS861_006D_BERUFSTRAEGER_SCHEMA_CORRECTNESS_REVIEW
RCK2-20,RCK2 (dieser Recheck),NEW_FINDING,content_type/no_binary-Guards walken nur reports/ (B.repdir()); memory/ und zitate_register/visualization/ von der MAGIC-Schicht nicht abged,S11_PS861_006D_FORMAT_POLYGLOT_CLOSED_TYPE_FIX
RCK2-21,RCK2 (dieser Recheck),NEW_FINDING,"A10: die vier 006D-Gate-Skripte / returncode-Verdrahtung + recheck-protocol-Tests 18/20 am Kandidaten (test_01_no_product_changed, test_18_n",S11_PS861_006D_GATE_WIRING_AUDIT
RCK2-22,RCK2 (dieser Recheck),NEW_FINDING,Gate-Attestierung nicht dauerhaft: die gate-registrierte recheck-protocol-Selbstpruefung (CAND=9a50f7e) war beim 670e362-Commit gruen (HEAD ,S11_PS861_006D_GATE_ATTESTATION_DURABILITY_FIX
