role_id,attack_class,independent_oracle,expected,actual,bypass_successful,severity,affected_component,l99_effect
B11,algorithmic-complexity-quadratic,"Eigene O(n)-Reimplementierung der Aggregat-Distinktheitspruefung mit Sets (agg_pids & comp_pids): N=16000 in 18,0ms. Die fachliche Pruefung 'teilen Aggregat- un",Aggregat-/Einzelposten-Doppelzaehlungspruefung laeuft in ~O(n); Laufzeit fuer wenige tausend Zeilen im Millisekundenbere,"check_006d_amount_axis_and_partition_integrity.py:43-47 nutzt 'comp=[r for r in TAX if r not in agg]' (Dict-Wertvergleich, O(n*|agg|)) plus verschachteltes 'for",ja,HIGH,zitate_register/check_006d_amount_axis_and_partition_integrity.py:42-47 (Aggregat-Partition-Distinktheit),NONE
B11,redos-surface-dead-code,"Eigene Aufzaehlung der Feldklassen ueber das eingefrorene Schema S11_PS861_006D_SPEC_ONLY_SCHEMA.json: TOTAL {ID:9, FROZEN_SET:176, META:50} — NULL PROSE- und N","Falls ReDoS-anfaellige Muster live waeren, koennte eine praeparierte Zelle die Guard-Laufzeit sprengen.","Kein lebender ReDoS-Bypass: die CASE_SIG/RULE_PREFIX-Falldaten-Signatur ist fuer das eingefrorene Schema toter Code (0 PROSE/RULE-Felder), und die Einzelmuster ",nein,LOW,zitate_register/_s11_006d_spec_validator.py:43-104 (CASE_SIG/RULE_PREFIX/case_signature) vs. eingefrorenes Schema,NONE
B12,ID_FIELD_CASE_SMUGGLE,"Eigener Falldaten-Detektor (scratchpad/oracle.py case_hits) mit unabhaengigen Betrags-/Datumsregexen, ohne Import des Produktvalidators",Falldaten-frei: kein Betrag/Datum in Zellen des SPEC-Only-Artefakts,amount_thousand 250.000 + de_date 15.03.2024 im ID-Wert; alle 14+1 Guards gruen,ja,CRITICAL,zitate_register/_s11_006d_spec_validator.py:validate_cell (ID-Zweig L93-96 ruft case_signature nie) + check_006d_no_case_values_in_spec.py (Bedingung sig AND validate_cell schlaegt bei ID nie an),NONE
B12,META_PAREN_FREETEXT_SMUGGLE,oracle.case_hits (eigene Regexe fuer Tausenderbetrag/Dezimalbetrag/de_date/Steuernr),"META-Feld nur kanonische Form, keine Falldaten",Regex `^UNREVIEWED( \(fail-closed[^)]*\))?$` matcht beliebigen Freitext ohne ')'; Betrag+Datum+Steuernr durchgeschleust; no_case_values ueberspringt META ganz,ja,CRITICAL,"zitate_register/_s11_006d_spec_validator.py:META_RULES['berufstraeger_review_ref'] (L39, [^)]* offen) + validate_meta",NONE
B12,CSV_DUP_HEADER_LAST_WINS,Eigener zeilenorientierter Header-Parser (oracle.duplicate_headers) ohne DictReader-Dedup + case_hits auf Erstinstanz,eindeutige Spalten; jede Zelle geprueft,"csv.DictReader kollabiert Duplikat auf letzten Wert; Falldaten '250.000,00 EUR 15.03.2024' in erster gleichnamiger Spalte fuer alle Guards unsichtbar; gruen",ja,HIGH,"zitate_register/_s11_006d_spec_validator.py:validate_artifact_rows (csv.DictReader L118, keine Header-Eindeutigkeitspruefung) + check_006d_closed_spec_schema.py",NONE
B12,UNVALIDATED_SIBLING_CSV,case_hits auf beliebige reports/*.csv (nicht nur die 10 kanonischen Namen),kein Falldaten-CSV in der 006D-Ausgabeflaeche,"closed_spec/no_case_values prueft nur SPEC_ARTIFACTS-Basenamen; Manifest verbietet keine neuen Nicht-Render-Dateien; komplett ungeprueft, gruen",ja,CRITICAL,zitate_register/check_006d_closed_spec_schema.py (nur V.SPEC_ARTIFACTS) + check_006d_allowed_output_manifest.py (keine Closure gegen neue Textdateien),NONE
B12,MD_TWIN_CASE_DATA,case_hits (Betrag/de_date/IBAN) auf .md-Inhalt,SPEC-.md-Zwilling ebenfalls falldaten-frei,"Guards fuehren fuer .md nur content_type_violation (Binaer/Base64/SVG) aus, nie case_signature; deutsche Falldaten passieren",ja,HIGH,"zitate_register/check_006d_content_type_and_magic.py + validate_artifact_rows (verarbeitet nur .csv, nie .md-Zeilen)",NONE
B12,TIFF_MAGIC_GAP,"Eigene Magic-Byte-Pruefung (oracle.magic_of) inkl. TIFF-LE/BE, BMP, CUR",Render-/Binaerdatei erkannt und blockiert,MAGIC-Dict enthaelt kein TIFF; Nicht-SPEC-Name -> text_scan=False -> nur Magic/Endung; gruen,ja,MEDIUM,"zitate_register/_s11_006d_spec_validator.py:MAGIC (L25-32, TIFF fehlt) + content_type_violation",NONE
B12,BMP_MAGIC_GAP,oracle.magic_of erkennt 'BM' als BMP,BMP-Render-Ausgabe blockiert,"MAGIC-Dict ohne BMP; Nicht-SPEC-.md -> text_scan=False, utf-8-Pruefung entfaellt -> nur Magic; gruen",ja,MEDIUM,zitate_register/_s11_006d_spec_validator.py:MAGIC (BMP fehlt) + check_006d_content_type_and_magic.py (text_scan an Basenamen gebunden),NONE
B12,CUR_MAGIC_GAP,oracle.magic_of erkennt 0x00000200 als CUR (Produkt kennt nur 0x00000100=ICO),CUR/ICO-Binaer blockiert,"Produkt-MAGIC hat ICO, nicht CUR; content_type_violation=None; gruen",ja,MEDIUM,zitate_register/_s11_006d_spec_validator.py:MAGIC (nur ICO 0x00000100),NONE
B12,ID_NOPREFIX_SMUGGLE,case_hits auf ID-Wert (big_int/amount/de_date),"ID rein technischer Identifier, falldaten-frei","justification_id ohne id_prefix -> lockeres `^[A-Za-z][\w ./-]*$`; Betrag+Datum passieren, ID-Zweig ohne case_signature; gruen",ja,HIGH,zitate_register/_s11_006d_spec_validator.py:validate_cell (ID-Fallback-Regex L95),NONE
B12,ID_IBAN_SMUGGLE,oracle.case_hits IBAN-Regex,keine Mandats-/Kontodaten (§203) im Artefakt,IBAN (Ziffern+Leerzeichen) passt in ID-Regex; kein Guard schlaegt an; gruen,ja,HIGH,zitate_register/_s11_006d_spec_validator.py:validate_cell ID-Zweig (kein case_signature),NONE
B12,ID_SMUGGLE_OTHER_ARTIFACT,case_hits (amount/de_date),falldaten-frei ueber ALLE Artefakte,ID-Luecke generalisiert auf sv_viz_id; gruen,ja,HIGH,zitate_register/_s11_006d_spec_validator.py:validate_cell ID-Zweig,NONE
B12,ID_SMUGGLE_RECON,case_hits (Dezimalbetrag/de_date),Reconciliation-ID falldaten-frei,"Betrag 12.750,00 + Datum passieren im ID-Feld; gruen",ja,HIGH,zitate_register/_s11_006d_spec_validator.py:validate_cell ID-Zweig,NONE
B12,UNVALIDATED_JSON_SIBLING,case_hits auf .json-Inhalt,keine ungepruefte Falldatendatei in Ausgabeflaeche,"nicht unter den 10 Artefakten; content_type prueft nur Binaer/Payload, keine Falldaten; gruen",ja,HIGH,zitate_register/check_006d_closed_spec_schema.py (Namensbindung) + allowed_output_manifest,NONE
B12,UNVALIDATED_SUBDIR_CSV,case_hits auf Unterordner-CSV,auch Unterordner-CSV falldaten-frei,"closed_spec prueft nur Top-Level-Namen (os.path.join(REP,a+'.csv')); Unterordner ungeprueft; gruen",ja,HIGH,zitate_register/check_006d_closed_spec_schema.py (kein rekursiver Inhaltsscan),NONE
B12,UNVALIDATED_MD_SIBLING,case_hits auf beliebige .md,kein Falldaten-Markdown in Ausgabeflaeche,Nicht-Zwilling-.md: text_scan=False -> nicht einmal Render-Scan; Falldaten passieren; gruen,ja,HIGH,zitate_register/check_006d_content_type_and_magic.py (text_scan an SPEC-Basenamen gebunden),NONE
B12,UNVALIDATED_DEEP_SUBDIR,case_hits auf tief verschachtelte Datei,gesamte reports/-Flaeche falldaten-frei,tiefe Verschachtelung entzieht sich Top-Level-Namenspruefung vollstaendig; gruen,ja,HIGH,zitate_register/check_006d_closed_spec_schema.py,NONE
B12,META_PAREN_COVERT_BASE64,Eigener Base64-Run-Detektor (>=120 zusammenhaengende Base64-Zeichen in einer Zelle = Covert-Channel),kein eingebetteter Covert-Payload,Produkt-Base64-Scan verlangt >=200 zusammenhaengende Zeichen; 160-Zeichen-Payload im META-Freitext passiert; gruen,ja,MEDIUM,"zitate_register/_s11_006d_spec_validator.py:content_type_violation (Base64-Schwelle 200, L161) + META-Regex [^)]*",NONE
B12,NOMINAL_REFERENTIAL_INTEGRITY,Eigener Bindungscheck: Mapping-Inhalt muss zu Registern passen (nicht nur len>=1),Crosswalk bindet Registerzeilen an existierende Universe-liability_id,Guard prueft nur Substring 'TAX_SV_TO_LIABILITY_UNIVERSE_MAPPING' in einem FROZEN_SET-Konstantwert + Mapping-len>=1; Mapping-Inhalt voellig ungeprueft; gruen,ja,MEDIUM,"zitate_register/check_006d_view_crosswalk_referential_integrity.py (validiert eingefrorene Konstante, keine echte ID-Aufloesung)",NONE
B12,HARDLINK_EVADES_SYMLINK_GUARD,"Eigene Pruefung: Datei mit st_nlink>1 / Falldateninhalt (Hardlink), unabhaengig von islink",kein indirekter Datei-Verweis in SPEC_ONLY-Schicht,path_symlink_violation prueft nur os.path.islink (bei Hardlink False); realpath bleibt im Repo; Falldaten passieren; gruen,ja,MEDIUM,"zitate_register/_s11_006d_spec_validator.py:path_symlink_violation (nur islink, L169) + check_006d_paths_and_symlinks.py",NONE
B12,NEG_CONTROL_UNKNOWN_COLUMN,case_hits + Header-Vergleich,BLOCK (unbekannte Spalte + Falldaten),closed_spec_schema + no_case_values schlagen fehl -> Gate blockiert korrekt,nein,NONE,Negativkontrolle: Guards funktionieren; Oracle diskriminiert,BLOCK
B12,NEG_CONTROL_MD_TWIN_SVG,oracle Magic/Markup-Erkennung,BLOCK (Render-Markup im kanonischen Zwilling),content_type_and_magic + no_embedded_payload blockieren korrekt (text_scan=True fuer SPEC-Namen),nein,NONE,"Negativkontrolle bestaetigt: nur Nicht-SPEC-Namen sind das Leck (A41), Zwilling ist geschuetzt",BLOCK
B12,NEG_CONTROL_SYMLINK,oracle: islink True,BLOCK (Symlink),"paths_and_symlinks blockiert korrekt -> zeigt, dass nur Hardlink (A24) die Luecke ist",nein,NONE,Negativkontrolle bestaetigt Symlink-Sperre,BLOCK
B2,unknown-schema-version-not-fail-closed,Eigener Sandbox-Test (kein Import des Produkt-Validators fuer den Oracle-Teil): Schema-Kopie mutiert — FROZEN_SET steuerart.allowed um 'ATTACKER_INJECTED_STEUER,"Ein geaendertes/unbekanntes Schema (neue Version, erweiterte allowlist) muss fail-closed erkannt/abgelehnt werden (Hash-",Der Validator laedt SCHEMA per json.load aus dem Working-Tree (Zeile 11-13) und verwendet SCHEMA.keys()/allowed verbatim. Es existiert KEIN schema_version/hash/,ja,HIGH,"zitate_register/_s11_006d_spec_validator.py (SCHEMA-Load, kein Version/Hash-Pin) + alle 15 check_006d_*.py (duenne Huellen ueber dasselbe ungepinnte Schema) + scripts/run_precommit_quality_gate.py",NONE
B2,legitimate-fachwert-not-migratable,"Eigene Frozen-Set-Pruefung (my_validate, ohne Produktcode): fachlich zulaessige Steuerarten gegen die eingefrorene steuerart.allowed-Menge getestet + Suche nach",Fachlich zulaessige Aenderungen (neue/korrigierte Steuerart eines realen Steuerschuldners) muessen ueber einen dokumenti,"steuerart ist FROZEN_SET mit 8 Werten; 'Grundsteuer (Kommunalkasse)', 'Einkommensteuer', 'Grunderwerbsteuer', 'Bauabzugsteuer (§48 EStG)' werden alle als UNKNOW",nein,MEDIUM,zitate_register/visualization/S11_PS861_006D_SPEC_ONLY_SCHEMA.json (FROZEN_SET steuerart u.a.) — keine Versionierung/Migration; Spannung zum Anti-'Sonstige'-Grundsatz des PC-Universe,BLOCK
B2,frozen-misclassification-conserved,"Unabhaengiger SV-rechtlicher Oracle: geringfuegig entlohnte Beschaeftigung unterliegt der RV-Versicherungspflicht mit eigenem Aufstockungsanteil (~3,6%), ausser",employee_share fuer Minijob sollte die Reviewfrage-Variante ('nachverbeitragter/AN-Eigenanteil moeglich; getrennt auszuw,"SVV-06 friert widerspruechlich ein: an_anteil_anwendbar='NEIN' UND employee_share='NICHT_ANWENDBAR (kein AN-Anteil bei ABGABE)', waehrend die eigene Zeile 266a_",partial,MEDIUM,"reports/S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER.csv Zeile SVV-06 + FROZEN_SET employee_share/an_anteil_anwendbar im Schema (empirisch abgeleitet, Fachfehler konserviert)",NONE
B3,csv-duplicate-column-shadowing,"Eigener positionsbasierter RFC4180-Parser + eigene Falldaten-Regex: sieht 8 Zellen mit amount_thousand/canary/gmbh in Spaltenindex 1 (erste steuerart), ueber al","Falldaten in einer SPEC-Zelle -> UNKNOWN/Falldaten-Signatur-Verstoss, Gate BLOCK","validate_artifact_rows viol=0, no_case_values viol=0, content_type=None, KEIN Crash. DictReader behaelt nur letzten (sauberen) Wert je Key; set(rows[0].keys()) ",ja,HIGH,"_s11_006d_spec_validator.validate_artifact_rows (Z.118-131, set(rows[0].keys()) + r.get(field)) sowie ALLE check_006d_*.py, die csv.DictReader verwenden",NONE
B3,id-prefix-shortcircuit-skips-casescan,Eigene Falldaten-Regex auf Zellwert: Treffer amount_thousand + canary + gmbh in Spalte 0 (tax_liability_id),"Betrag/Firmierung in einer Zelle -> Falldaten-Signatur-Verstoss, Gate BLOCK","validate_artifact_rows viol=0, no_case_values viol=0, kein Crash. validate_cell cls=='ID' kehrt bei v.startswith('TXV-') sofort None zurueck OHNE case_signature",ja,HIGH,"_s11_006d_spec_validator.validate_cell ID-Zweig (Z.93-96, kein case_signature) + check_006d_no_case_values_in_spec Kopplung (Z.20 'sig and validate_cell')",NONE
B3,csv-restkey-extra-columns-fragile-failclosed,Positionsparser sieht Falldaten in Spaltenindex 75/76 (amount_thousand/iban_de/big_number),Zusatzspalten mit Falldaten -> definierte Ablehnung (nicht via Zufalls-Crash),"validate_artifact_rows viol=0 (iteriert NUR declared-Felder via r.get; restkey None voellig ungeprueft). no_case_values BLOCKt nur, weil case_signature(list) ei",partial,MEDIUM,"_s11_006d_spec_validator.validate_artifact_rows (Z.126-128 nur declared) + check_006d_no_case_values_in_spec (r.items() ueber restkey-Liste, Z.14-19)",BLOCK
B4,staged-blob-toctou-divergenz,"Eigener Magic-Byte-Parser (oracle.py, importiert V NICHT) klassifiziert via 'git cat-file blob HEAD:reports/PRODUCT_NOTES.csv': erkennt %PDF-Magic -> MALICIOUS(",Der Gate/Guard validiert den TATSAECHLICH committeten Inhalt (staged Blob); ein PDF-Magic-Payload in einer .csv unter re,Guard 'check_006d_content_type_and_magic' liest per B.repdir()/os.walk nur den Working Tree. Nach 'git add' des %PDF-Blobs + Zuruecksetzen des Working Tree auf ,ja,P0,"Alle 15 zitate_register/check_006d_*.py (WT-Lesen via _bl02_common.repdir()/os.walk/open, 0 staged-Reads) + scripts/run_precommit_quality_gate.py (0 index/cat-file-Konsultationen) + Companion check_s11_tax_sv_visualization_model_spec_only.py",NONE
B4,staged-datei-aus-worktree-entfernt,Eigener data:-URL/Base64-Grep auf 'git cat-file blob HEAD:reports/S11_TAX_SV_VISUALIZATION_ERROR_PREMORTEM.csv' findet 'data:image/png;base64' im committeten Bl,Ein neues SPEC-Artefakt mit eingebettetem data:-URL/Render-Payload muss beim Commit als Verstoss geblockt werden (text_s,"Angreifer 'git add' der boesen SPEC-CSV, dann 'rm' aus dem Working Tree. os.walk des Guards sieht die Datei nie -> 'ok | Verstoesse=0' exit0; Commit landet den ",ja,P0,check_006d_content_type_and_magic.py + check_006d_no_embedded_payload.py + check_006d_closed_spec_schema.py + validate_artifact_rows() (alle os.walk/repdir-basiert),NONE
B5,staged-blob-toctou-spatial,"Eigener staged-blob-Scanner: liest 'git show :path' (den tatsaechlich zu committenden Index-Blob, NICHT den Arbeitsbaum) und prueft mit eigener Magic-Byte-/data","Wenn der Guard das absichert, was committet wird, muss er den vergifteten Index-Blob (data:-URL) erkennen und den Commit",check_006d_content_type_and_magic gab 'ok ... Verstoesse=0' (exit 0) auf dem sauberen Arbeitsbaum; git commit schrieb den vergifteten Index-Blob (HEAD-Tree 8d43,ja,P0,"alle 15 check_006d_*.py (B.repdir()/V.validate_artifact_rows lesen Arbeitsbaum) + scripts/run_precommit_quality_gate.py write_green_marker (git write-tree = Index) + scripts/ci_gate.py (bindet Marker/Attestierung an HEAD-Tree, nie Inhaltspruefung des Blobs)",NONE
B5,schema-swap-oracle-integrity,Eigener Kontrollvergleich frozen-vs-widened: Diff der Arbeitsbaum-Schemadatei gegen 'git show HEAD:...schema.json' plus zwei Guard-Laeufe (mit/ohne Erweiterung),Das eingefrorene Schema ist die Vertrauensbasis; eine Aenderung der Schemadatei muss durch einen Hash-/Freeze-Guard erka,Mit erweitertem Schema gab check_006d_closed_spec_schema 'ok ... Verstoesse=0' und akzeptierte 'PAYROLL_LEAK_2024'; mit wiederhergestelltem Frozen-Schema FAILte,ja,HIGH,zitate_register/visualization/S11_PS861_006D_SPEC_ONLY_SCHEMA.json (ungepinnt) + _s11_006d_spec_validator.py (laedt Schema beim Import aus Arbeitsbaum) — das Oracle selbst ist manipulierbar,NONE
B5,concurrency-lock-write-window-steal,"Eigenes Mutex-Korrektheits-Oracle: ein korrektes Lock darf einem ANDEREN lebenden PID niemals gestattet werden, das Lock eines lebenden Halters zu entfernen; di",B muss blockiert werden (Lock gehoert lebendem A); PRE_COMMIT_CONCURRENCY_LOCK darf keine zweite Gate-Instanz zulassen,"read_lock(leer) -> 0; pid_alive(0)=False -> acquire_lock behandelt das Lock des lebenden A als stale, entfernt es und vergibt es an B (return True); zwei lebend",partial,MEDIUM,scripts/run_precommit_quality_gate.py acquire_lock/read_lock (leeres/teilgeschriebenes Lockfile als stale fehlklassifiziert) + .git/hooks/pre-commit mkdir-Lockdir/pid-Fenster,NONE
B5,central-run-check-then-attest-gap,"Codeanalyse + Aequivalenz zu B5-01 (dort end-to-end reproduziert): der Gate validiert Dateisystemzustand, attestiert aber den HEAD/Index-Tree; bei Divergenz Arb","Der zentrale Lauf muss exakt den attestierten Tree (HEAD/Index) inhaltlich pruefen, nicht einen davon abweichenden Arbei",cmd_run attestiert den HEAD-Tree GRUEN auf Basis eines Gate-Laufs ueber den Arbeitsbaum; zwischen Pruefung und Attestierung/Commit besteht dasselbe ungeschuetzt,partial,HIGH,scripts/ci_gate.py cmd_run/cmd_attest_head (Tree-Hash-Gleichheit statt Inhaltspruefung) + run_precommit_quality_gate.py (kein Snapshot/kein staged-blob-Abgleich),NONE
B6,hardlink-aliasing-of-out-of-tree-file,Eigener Python-Oracle (scratchpad/b6_sb/oracle_b6.py): os.lstat().st_nlink>1 pro reports-Datei + Inode-Index des gesamten Repo-Baums; wenn st_nlink groesser als,"Hardlink in reports/, der eine repo-externe Datei aliassiert, wird als SPEC_ONLY-Verletzung geblockt (Symlink-Verbot sol",check_006d_paths_and_symlinks und check_006d_content_type_and_magic geben exit 0/ok; islink()==False und realpath bleibt in-tree. Oracle meldet reports/aux_note,ja,HIGH,zitate_register/_s11_006d_spec_validator.py:path_symlink_violation + zitate_register/check_006d_paths_and_symlinks.py,NONE
B6,nested-git-and-submodule-outside-scan-coverage,Eigener Oracle walkt den GESAMTEN Repo-Root (nicht eine feste Liste) und meldet jedes Entry name.casefold()=='.git' mit realpath != root/.git; klassifiziert dir,"Verschachteltes .git-Verzeichnis bzw. Submodule-gitdir-Pointer (.git-Datei) wird als SUSPICIOUS_NESTED_GIT geblockt, ega",legal_corpus/vendorlib/.git (dir) und legal_corpus/.git (gitdir-pointer) + .gitmodules passieren check_006d_no_nested_git_directory (exit 0; SCAN-Liste = nur re,ja,HIGH,zitate_register/check_006d_no_nested_git_directory.py (hardcodierte SCAN-Liste) + zitate_register/check_006d_paths_and_symlinks.py (nur reports/),NONE
B6,git-lfs-pointer-as-report-file,Eigener Parser erkennt LFS-Pointer-Signatur (erste Zeile 'version https://git-lfs.github.com/spec/v1' + 'oid sha256:' + 'size'); der Produkt-Guard hat keinerlei,Eine LFS-Pointer-Datei (deren realer Inhalt ein per Smudge nachgeladenes Binaerblob ist) sollte in der 006D-Ausgabeflaec,"big_asset_lfs.md (Nicht-SPEC reports/.md) passiert check_006d_content_type_and_magic und check_006d_no_binary_or_render_output (exit 0), da text_scan=False fuer",partial,LOW,zitate_register/_s11_006d_spec_validator.py:content_type_violation (text_scan=False Pfad) + zitate_register/check_006d_content_type_and_magic.py,NONE
